,P(C),P(area_in_C),median_household_income,per_capita_income,population_density,P(income_10k_to_15k|house_in_C),P(income_15k_to_25k|house_in_C),P(income_25k_plus|house_in_C),P(income_less_than_10k|house_in_C),P(poverty|C),P(hispanic|C),P(nativity_native|C),P(labor_16_plus_employed|C),P(labor_16_plus_unemployed|C),P(labor_16_plus_armed_forces|C),P(labor_16_plus_not_in_force|C),P(white_total|C),P(black_total|C),P(asian_total|C),P(aian_total|C),P(nhpi_total|C),P(other_total|C),P(multi_total|C),P(male_age_low_edu_low|C),P(female_age_low_edu_low|C),P(male_age_low_edu_mid|C),P(female_age_low_edu_mid|C),P(male_age_low_edu_high|C),P(female_age_low_edu_high|C),P(male_age_low_edu_very_high|C),P(female_age_low_edu_very_high|C),P(male_age_mid_edu_low|C),P(female_age_mid_edu_low|C),P(male_age_mid_edu_mid|C),P(female_age_mid_edu_mid|C),P(male_age_mid_edu_high|C),P(female_age_mid_edu_high|C),P(male_age_mid_edu_very_high|C),P(female_age_mid_edu_very_high|C),P(male_age_high_edu_low|C),P(female_age_high_edu_low|C),P(male_age_high_edu_mid|C),P(female_age_high_edu_mid|C),P(male_age_high_edu_high|C),P(female_age_high_edu_high|C),P(male_age_high_edu_very_high|C),P(female_age_high_edu_very_high|C),P(marital_divorced|C),P(marital_single|C),P(marital_married|C),P(marital_separated|C),P(marital_widowed|C),racial_diversity,P(democrat_voter|C),P(republican_voter|C),P(other_voter|C),P(non_voter|C),log_odds_dem_rep
P(marital_divorced|C),2.32,-1.23,0.54,0.58,2.13,0.35,0.48,0.32,0.33,0.01,1.02,1.0,-0.12,-0.64,-1.08,-0.01,2.68,-0.54,1.64,-2.94,2.16,1.96,-1.41,-0.08,-0.4,3.86,2.78,0.53,0.43,0.93,1.18,-0.01,-0.16,1.88,2.84,0.76,0.54,2.24,7.43,0.45,0.48,1.52,4.78,0.59,-2.77,-1.03,-1.08,0.0,2.41,-1.02,-0.78,0.83,6.23,1.16,-27.78,-3.43,-2.32,3.3
P(marital_single|C),0.66,5.13,-0.49,-3.16,1.2,0.14,-2.42,-0.12,0.06,0.1,1.25,0.82,-2.54,0.18,-1.5,-2.76,0.09,-0.09,0.21,-1.07,-0.45,1.84,0.93,-0.63,0.42,-0.29,-0.41,0.88,1.03,0.5,0.54,-1.79,0.21,0.43,0.28,-2.05,4.36,0.04,0.14,0.48,0.96,0.18,0.02,0.2,-1.12,0.16,0.59,1.82,0.0,-0.0,0.0,0.21,0.13,0.26,0.14,-0.59,-0.05,0.24
P(marital_married|C),0.9,10.55,0.17,-0.46,1.53,0.16,0.13,0.03,0.09,0.11,0.85,0.75,-0.67,0.13,-1.23,-1.1,-0.03,0.01,-0.17,-0.69,-1.18,1.18,-0.04,-0.09,0.34,0.5,0.49,4.24,7.17,0.72,0.71,-0.35,0.11,0.0,-0.15,-0.02,-0.13,1.05,9.46,1.96,-1.26,-0.01,-0.17,0.18,-0.23,0.27,0.44,-1.24,0.03,0.0,0.05,0.71,-0.02,0.3,0.05,-0.35,-0.08,0.24
P(marital_separated|C),4.03,-1.37,0.06,-0.17,3.98,0.2,0.15,0.04,0.05,0.15,1.45,2.12,-0.2,0.1,0.74,-0.33,-0.02,-0.06,-0.2,-0.59,1.96,1.65,4.72,0.15,0.46,0.95,0.55,-0.48,-0.64,-0.4,-0.59,0.02,0.21,0.18,0.05,0.16,0.11,0.47,1.07,-0.01,-0.16,0.09,-0.07,0.51,0.1,0.67,1.72,-0.85,0.09,0.07,0.0,-0.2,-0.1,0.21,0.08,-0.03,0.19,0.85
P(marital_widowed|C),0.12,0.57,-0.12,-0.02,-0.3,0.04,0.08,0.01,0.09,-0.16,0.7,0.02,0.4,-2.88,-0.22,0.42,3.65,-0.35,0.11,-0.98,0.0,0.65,0.39,3.74,-6.71,0.45,0.28,0.13,0.12,0.05,-0.05,0.57,0.33,1.62,0.53,0.33,0.3,-0.06,-0.22,0.49,0.44,0.62,0.18,1.78,-0.03,-1.42,-5.92,1.04,-0.03,0.58,-0.01,0.0,0.72,0.15,0.44,0.42,0.81,0.55
racial_diversity,0.6,1.65,3.24,-22.62,0.67,-5.59,5.39,-2.6,-0.89,-0.43,0.64,0.53,-1.42,0.18,-0.46,-32.31,0.08,-0.24,0.51,-0.79,0.21,0.51,0.03,-0.33,0.1,0.17,-0.07,1.94,1.93,0.81,0.79,-1.59,-0.53,0.62,0.63,-13.59,13.71,0.74,0.54,2.25,-31.41,0.67,0.21,-0.07,-1.84,2.26,0.26,5.96,0.15,-0.01,-0.11,0.73,0.0,0.81,0.34,-0.37,0.11,0.64
P(democrat_voter|C),-0.27,2.09,0.48,0.52,0.53,1.05,0.77,1.01,-2.56,5.63,-0.01,1.41,1.29,0.05,1.84,1.17,0.11,-0.03,0.15,-9.56,-0.93,-1.62,-87.82,1.75,0.9,4.15,2.19,0.85,0.69,0.84,0.69,1.29,0.89,13.37,-4.29,0.4,0.34,0.31,0.33,0.87,0.6,0.8,0.15,0.12,0.49,0.11,0.34,2.61,0.22,0.23,-4.71,-0.06,0.58,-0.0,0.05,-0.08,-0.07,-0.06
P(republican_voter|C),0.77,4.83,-3.09,-2.24,1.09,-0.76,-3.95,-0.78,-0.34,-0.12,0.72,0.69,-1.36,0.03,-0.78,-17.27,0.38,-0.05,0.62,-0.92,0.39,1.03,0.57,-0.23,0.33,0.25,-0.11,1.87,2.32,0.82,0.75,-1.41,-0.21,0.2,0.18,-0.99,-1.45,0.41,0.22,1.57,3.3,0.17,-0.08,-0.14,-0.94,-0.44,0.87,-12.47,0.14,0.03,0.19,0.26,0.44,-0.02,0.0,-0.56,-0.04,0.1
P(other_voter|C),2.72,-0.84,-0.14,-0.41,3.33,-0.15,0.02,-0.13,-0.07,-0.04,0.76,1.41,-0.24,0.05,-0.05,-0.36,-0.04,0.07,-0.98,40.78,0.61,0.3,-8.17,-0.05,0.14,-3.56,-0.13,-0.41,-0.6,-0.37,-0.35,-0.13,0.01,-0.17,-0.26,-0.31,-0.42,-0.17,0.06,-0.02,-0.19,-0.35,-0.29,-0.38,-0.24,-0.08,0.11,-1.37,-0.27,-0.16,0.13,0.11,-0.13,-0.07,-0.28,0.0,-0.18,-0.21
P(non_voter|C),3.09,5.21,-0.19,-0.25,2.71,0.09,-0.09,-0.17,-0.22,0.14,0.55,0.48,-0.14,0.02,-0.14,-0.85,0.59,-0.29,2.24,-0.34,0.91,0.59,0.12,0.32,0.49,0.77,0.53,-0.35,-0.54,0.78,0.49,-0.04,0.3,-0.2,-0.2,-0.03,-0.08,0.23,0.38,26.43,-1.86,-0.08,-0.13,-0.04,-0.11,0.07,0.26,-4.02,-0.08,-0.12,0.35,0.47,0.26,0.01,-0.0,-0.14,0.0,-0.82
log_odds_dem_rep,0.43,-2.34,0.97,1.21,1.04,4.16,1.3,-3.55,-0.2,-0.12,2.39,1.29,7.95,0.12,-2.53,2.48,0.42,0.02,0.48,-1.4,0.16,3.57,1.47,-2.47,4.7,-0.54,-3.4,1.1,1.06,0.82,0.67,3.06,0.05,1.12,1.42,0.5,0.44,0.15,0.13,1.22,1.29,0.54,0.24,42.78,1.33,-0.12,0.24,12.36,0.25,0.23,0.58,0.35,0.7,-0.09,0.11,-0.88,-1.75,0.0
