gisjoin,year,state,county,population,area,hispanic,nativity_foreign_born,nativity_native,households,income_10k_to_15k,income_15k_to_25k,income_25k_plus,income_less_than_10k,labor_16_plus_in_force,labor_16_plus_employed,labor_16_plus_unemployed,labor_16_plus_armed_forces,labor_16_plus_not_in_force,median_household_income,per_capita_income,poverty,white_total,black_total,asian_total,aian_total,nhpi_total,other_total,multi_total,male_age_low_edu_low,female_age_low_edu_low,male_age_low_edu_mid,female_age_low_edu_mid,male_age_low_edu_high,female_age_low_edu_high,male_age_low_edu_very_high,female_age_low_edu_very_high,male_age_mid_edu_low,female_age_mid_edu_low,male_age_mid_edu_mid,female_age_mid_edu_mid,male_age_mid_edu_high,female_age_mid_edu_high,male_age_mid_edu_very_high,female_age_mid_edu_very_high,male_age_high_edu_low,female_age_high_edu_low,male_age_high_edu_mid,female_age_high_edu_mid,male_age_high_edu_high,female_age_high_edu_high,male_age_high_edu_very_high,female_age_high_edu_very_high,marital_divorced,marital_single,marital_married,marital_separated,marital_widowed,democrat_voter,republican_voter,other_voter,non_voter
G1200890,2008,FLORIDA,Nassau County,71099,648.639,2188,1893,69206,27255,901,2431,22390,1533,34969,32027,2737,205,22235,58712,29089,6547,64034,4936,624,127,0,588,790,400,291,748,1030,400,362,144,226,1136,823,2202,2867,1473,1414,939,1170,631,898,910,1119,860,586,620,363,7179,12487,33582,1384,3634,10618,27403,283,32795
G1200910,2008,FLORIDA,Okaloosa County,182076,930.247,11733,12401,169675,72442,2946,7125,58342,4029,98337,82822,6286,9229,47313,54242,28621,18702,149733,16908,5633,1251,35,2527,5989,900,399,3517,3170,1689,2615,649,504,1280,1286,5825,6651,4418,4137,3682,2714,528,1870,2319,2948,2253,1239,2039,645,18183,37344,80267,3477,8921,25872,68789,868,86547
G1200930,2008,FLORIDA,Okeechobee County,39883,768.908,9138,4839,35044,13642,1330,2082,9328,902,17943,15920,2023,0,13684,38339,19664,7614,34014,3107,362,298,0,1311,791,378,202,570,560,156,239,21,36,956,659,652,944,526,363,182,158,546,707,591,742,189,232,85,92,3707,9535,15857,850,2232,5108,7561,117,27097
G1200950,2008,FLORIDA,Orange County,1116094,903.429,287760,213644,902450,406002,20463,44634,315116,25789,618815,561806,56496,513,260987,50138,25490,147225,717711,226111,53326,3560,1547,85645,28194,6738,5315,17830,17961,18866,23077,6412,8705,10693,9224,23206,28334,27084,25149,14381,12606,5079,7599,8404,10112,7433,6453,4872,3497,97877,321760,410387,24207,40194,273009,186832,2870,653383
G1200970,2008,FLORIDA,Osceola County,258531,1327.453,112439,50997,207534,92526,4640,11290,71614,4982,133138,120153,12836,149,65292,46328,20536,33839,191793,28224,7090,594,283,20727,9820,1626,1293,3901,4432,2485,2854,393,965,2846,2645,6269,7118,4043,4107,2118,1741,1498,2311,2088,2019,1044,898,835,523,22721,57424,106335,6225,9907,59962,40086,622,157861
G1200990,2008,FLORIDA,Palm Beach County,1299356,1969.763,233557,289118,1010238,523150,26140,55925,408320,32765,643829,585359,57882,588,420667,53242,33610,156759,971148,218649,29536,2772,674,57740,18837,7355,5333,14220,15246,13072,16567,4499,6020,10906,10858,31375,38915,37276,35101,22462,20724,9190,12354,23434,33855,25967,21569,22221,13687,132740,296074,535306,21464,94756,361271,226037,3192,708856
G1201010,2008,FLORIDA,Pasco County,456514,746.886,49360,41989,414525,184813,12124,25798,135543,11348,208639,188298,19923,418,162007,44228,24164,55327,411709,18549,9749,1187,158,7406,7756,2537,1965,5637,6726,3682,5450,832,1508,4928,4524,14074,15742,8798,9311,4313,3859,5991,7906,8674,8724,4074,3283,2879,1928,47243,82227,207002,6788,32972,102417,110104,2345,241648
G1201030,2008,FLORIDA,Pinellas County,918263,273.799,68009,102522,815741,405649,24189,53223,300844,27393,463533,426402,35866,1265,309231,45258,28742,108944,769296,93342,27616,2028,801,9972,15208,5011,4134,10141,11632,9337,12048,2510,3995,9785,8729,29453,33933,27062,25823,14305,13283,8926,12441,16981,22048,13271,11431,10661,7186,121825,209129,363624,17044,71692,248299,210066,4917,454981
G1201050,2008,FLORIDA,Polk County,590116,1797.837,97811,63026,527090,223689,13675,30050,164149,15815,273021,247262,25276,483,192817,43946,21881,87335,456933,84564,9264,2123,348,25644,11240,4939,2983,6680,7473,3724,5478,884,1789,7810,7765,14258,16087,9249,9466,4883,4658,6161,7837,9478,9907,5505,4466,3822,2258,53240,121045,254780,11243,33586,113865,128878,2090,345283
G1201070,2008,FLORIDA,Putnam County,74715,727.622,6333,3164,71551,29168,2399,4460,18592,3717,30370,26890,3415,65,29122,34645,18402,17003,58863,12294,518,389,0,1758,893,978,458,623,717,136,315,28,102,1377,1180,2057,2048,1021,994,626,543,1016,1342,946,1594,609,448,579,284,8148,15588,29998,1514,5272,13236,19637,298,41544
G1201130,2008,FLORIDA,Santa Rosa County,147838,1011.605,6061,6980,140858,54860,2243,5327,44341,2949,73712,64243,6702,2767,42957,55129,25384,16326,130575,7229,2987,1112,248,1207,4480,1047,725,2455,2107,2025,1850,244,528,1172,1360,5184,5446,3683,3338,2208,1727,652,1321,1905,1783,1143,697,1053,624,14252,27137,68092,2722,6359,19470,55972,743,71653
G1201150,2008,FLORIDA,Sarasota County,376200,555.868,27759,43482,332718,169009,9519,18706,131405,9379,170138,154284,15639,215,153036,49388,33045,38849,342987,17082,5060,589,85,5823,4574,1894,697,3569,3364,2214,3349,633,1027,2793,2764,11937,13264,9876,9952,6747,6786,3724,4973,10692,14109,10528,8654,9720,5311,43144,66149,179153,5576,33298,102686,102897,1770,168847
G1201170,2008,FLORIDA,Seminole County,417330,309.221,67555,47797,369533,152682,6127,13422,125438,7695,227885,211051,16531,303,103686,58971,29795,40758,332935,43520,15483,1040,240,13929,10183,1981,1440,6486,6019,6207,8100,2025,2543,3708,3027,11955,14743,12826,12858,8107,6028,1931,3063,4105,5971,3685,2929,2936,1538,40899,105325,166181,6346,19710,99335,105070,1490,211435
G1201090,2008,FLORIDA,St. Johns County,180624,600.655,8797,11371,169253,70324,3038,5785,58069,3432,91356,84612,6071,673,52209,62663,36027,16165,161720,9829,3782,388,52,1482,3371,692,392,1941,1720,1817,2880,679,1042,1105,902,5917,6946,7175,6541,4144,3435,693,1292,2697,3349,2927,2431,2520,1241,18738,34056,82763,2188,8611,35791,69222,831,74780
G1201110,2008,FLORIDA,St. Lucie County,269659,571.926,42416,41997,227662,103103,5200,12656,78494,6753,126117,110919,14980,218,89907,45196,23296,36457,199387,49633,4226,1452,36,7905,7020,2079,1538,3028,3509,1560,2161,316,912,3435,3217,7935,8848,3975,4292,2289,2617,2865,3928,5126,5951,3289,2187,2708,1302,26741,54242,115984,5321,17226,67125,52512,942,149080
G1201190,2008,FLORIDA,Sumter County,85891,546.933,5436,5091,80800,38589,2168,5523,28661,2237,24265,21467,2783,15,53971,43079,24180,8594,74205,9105,529,252,30,947,823,982,194,781,656,162,207,43,55,1436,878,2028,3261,1607,1502,1002,909,1842,1906,3881,3787,3099,1768,1999,1169,7873,11756,50217,1408,7609,17655,30866,347,37023
G1201210,2008,FLORIDA,Suwannee County,40675,688.552,3289,2360,38315,14983,1300,2449,9695,1539,17441,15924,1487,30,14699,36352,18782,6918,34230,4336,140,48,0,693,1228,483,126,543,578,131,143,20,40,792,462,1005,1200,406,361,149,320,499,829,505,790,209,242,150,163,4142,7568,16836,949,3429,4916,12534,212,23013
G1201230,2008,FLORIDA,Taylor County,22000,1043.305,511,466,21534,7724,530,1300,5028,866,10007,8693,1314,0,7915,37408,18649,3893,16660,4670,144,79,48,65,334,293,99,177,336,153,73,59,89,524,380,704,781,185,185,170,139,298,353,253,217,104,124,134,107,2384,4950,9148,478,1223,2803,6457,106,12634
G1201250,2008,FLORIDA,Union County,15375,243.556,670,887,14488,3521,139,534,2537,311,5441,4947,494,0,6932,41794,13657,2540,11477,3383,92,110,0,96,217,336,82,161,217,110,43,0,17,541,163,543,239,156,121,75,76,43,96,194,122,65,76,10,3,2137,4936,4642,413,495,1299,3933,53,10090
G1201270,2008,FLORIDA,Volusia County,496053,1101.032,52754,38061,457992,200346,12664,25786,146356,15540,231862,213229,18187,446,180652,44400,24768,66312,412897,49934,7615,1348,128,15487,8644,2993,2174,6456,6494,3563,4429,1099,1625,5522,4892,16819,19149,10150,9685,6112,5761,5428,6590,8982,11161,5945,4969,4742,3292,56591,110778,207731,7312,35764,127795,113938,2091,252229
G1201290,2008,FLORIDA,Wakulla County,29368,606.419,913,598,28770,10540,591,1065,8170,714,14093,13026,1021,46,9331,53301,21892,3317,24529,3905,192,258,0,120,364,577,160,558,419,76,272,24,106,480,209,908,1006,609,458,311,369,240,359,306,364,267,71,156,77,3150,5759,13205,511,1169,5311,8877,188,14992
G1201310,2008,FLORIDA,Walton County,53366,1037.625,2483,2625,50741,22916,1588,2898,16654,1776,25386,23190,2074,122,18199,47273,27746,7401,46623,3033,520,491,90,1512,1097,729,244,757,775,595,759,138,147,1124,612,1802,2176,1229,990,772,818,421,488,796,782,783,718,608,315,6268,9414,24696,1203,2655,7174,19561,311,26320
G1201330,2008,FLORIDA,Washington County,24125,582.803,728,786,23339,8753,651,1283,5801,1018,10277,9257,1020,0,9293,36216,18470,4337,19571,3331,91,224,0,41,867,295,122,520,249,59,192,31,12,438,478,848,708,257,300,236,200,215,369,282,120,157,117,61,126,2980,4724,9591,646,1878,2863,8178,90,12994
G1300010,2008,GEORGIA,Appling County,18050,507.081,1465,1239,16811,7145,692,1225,4599,629,8338,7864,428,46,5436,36155,18977,3964,12942,3510,183,15,0,1388,12,399,115,266,343,42,49,0,11,411,314,390,536,237,83,97,71,162,319,76,112,13,78,91,8,1371,2738,8294,515,1266,1846,5085,65,11054
G1300030,2008,GEORGIA,Atkinson County,8332,339.382,1868,943,7389,2758,224,361,1768,405,3584,3225,359,0,2420,33834,15456,2331,5793,1657,0,4,0,814,64,180,108,20,57,0,26,0,16,145,99,70,151,49,42,32,81,38,65,87,78,35,45,6,10,732,1652,3209,136,432,938,1941,25,5428
G1300050,2008,GEORGIA,Bacon County,10969,258.576,650,533,10436,3873,535,471,2355,512,4355,4058,297,0,4007,31429,17110,1723,8513,1862,26,0,0,528,40,136,83,119,198,57,49,0,30,228,207,229,288,22,17,111,60,144,109,19,71,0,9,7,0,1044,2011,4307,391,745,817,3089,32,7031
G1300070,2008,GEORGIA,Baker County,3657,341.944,0,0,3657,1342,125,208,736,273,1393,1303,90,0,1249,27462,16379,1092,1472,2162,0,23,0,0,0,28,18,28,65,10,27,0,0,51,96,79,94,26,89,0,27,65,31,6,52,35,30,0,6,228,808,1325,119,260,846,828,13,1970
G1300090,2008,GEORGIA,Baldwin County,46905,257.844,945,1250,45655,15902,1161,2574,10054,2113,19550,17945,1495,110,19103,37237,17488,10269,26033,19855,623,33,0,62,299,649,185,585,609,225,400,164,190,969,588,1111,948,648,652,424,684,413,492,306,384,186,219,350,265,4627,17175,13773,930,2712,8587,7823,127,30368
G1300110,2008,GEORGIA,Banks County,17840,232.091,991,567,17273,6463,552,970,4327,614,8568,7868,697,3,5257,40455,19497,2833,16548,478,177,18,0,459,160,239,107,159,297,92,106,51,110,520,286,321,491,184,74,104,76,148,315,109,141,30,47,48,24,1646,2602,8680,310,786,1027,5120,94,11599
G1300130,2008,GEORGIA,Barrow County,66359,160.309,5330,4477,61882,23045,1463,2200,17723,1659,33558,30125,3387,46,16029,48958,20882,8295,53540,7616,2275,119,0,1623,1186,610,520,1066,1434,527,695,88,321,1044,1046,1719,1749,718,572,376,434,282,769,382,462,146,158,210,97,5525,12865,28159,1028,2895,6657,17625,300,41777
G1300150,2008,GEORGIA,Bartow County,97423,459.544,6963,5000,92423,34301,2184,3413,26245,2459,47109,43626,3373,110,26512,49216,22241,13472,80027,9809,778,411,62,5297,1039,1204,657,1097,1565,514,952,232,456,1936,1796,2164,2322,1450,1244,659,799,747,1234,631,621,394,206,330,209,9195,17483,43411,1511,3886,9662,25976,455,61330
G1300170,2008,GEORGIA,Ben Hill County,17631,250.121,1026,745,16886,6582,854,1183,3646,899,7318,6268,1050,0,6131,30134,15529,4635,10386,6338,77,0,0,745,85,230,124,155,119,35,81,35,7,293,567,432,392,130,141,162,196,141,446,111,120,65,124,45,63,1502,3939,6634,497,1202,2590,3417,29,11595
G1300190,2008,GEORGIA,Berrien County,18708,451.897,786,469,18239,7293,596,1489,4213,995,8198,7296,684,218,6359,32202,16049,4145,15889,2207,0,0,0,467,145,137,281,137,225,139,119,8,19,501,467,321,399,115,218,169,55,244,409,236,72,59,49,37,49,1524,3103,8437,643,1082,1471,4901,77,12259
G1300210,2008,GEORGIA,Bibb County,154810,249.762,4085,5591,149219,57222,4295,8613,37106,7208,69372,62484,6719,169,49895,38798,21436,33051,68843,78866,2454,377,0,2285,1985,1257,1502,2355,2719,1564,1881,551,718,2803,2648,3469,4478,2600,3004,1717,1611,809,2085,1188,1673,900,1012,736,654,14870,43574,49961,4143,9186,38987,27037,344,88442
G1300230,2008,GEORGIA,Bleckley County,12937,215.87,23,244,12693,4268,370,670,2659,569,5271,5014,257,0,4941,35661,18960,2397,8865,3824,185,0,0,63,0,30,120,33,75,13,45,21,10,367,301,232,143,117,73,121,173,185,156,102,166,16,20,53,31,1260,3627,4619,188,770,1380,3657,34,7866
G1300250,2008,GEORGIA,Brantley County,17650,442.362,199,156,17494,6629,572,767,4440,850,8025,7366,618,41,5462,37343,18905,3730,16681,793,73,30,0,0,73,214,253,113,210,0,15,0,49,559,268,574,380,99,66,12,101,132,184,173,152,23,38,25,10,1800,3240,7308,554,906,1119,5080,78,11373
G1300270,2008,GEORGIA,Brooks County,16338,493.046,777,604,15734,6303,434,889,4356,624,8212,7482,685,45,4778,41309,20346,2687,9744,5983,38,19,0,396,158,168,44,143,353,64,94,0,8,348,202,347,502,194,198,145,179,214,229,52,165,106,113,176,84,1060,3377,7257,363,1092,2669,3507,25,10137
G1300290,2008,GEORGIA,Bryan County,29039,435.967,1212,1269,27770,10466,386,1023,8508,549,15110,13532,831,747,6418,63244,28365,3176,23334,3789,391,84,0,555,886,118,117,471,491,246,423,141,267,313,225,843,1099,901,515,278,343,144,187,145,230,164,68,52,98,2245,5209,13097,380,1154,3636,9112,97,16194
G1300310,2008,GEORGIA,Bulloch County,67298,672.809,2240,2354,64944,24245,1929,3163,15099,4054,32726,29875,2763,88,22355,34327,17812,17795,45605,18312,1029,160,0,1026,1166,367,183,1151,1109,686,778,299,551,542,762,1309,1647,931,853,645,822,287,547,428,523,397,301,343,265,4696,25311,21875,1258,2642,9586,14174,160,43378
G1300330,2008,GEORGIA,Burke County,23083,826.968,169,110,22973,7686,1051,969,4753,913,9215,8386,817,12,7941,33155,15934,5785,10940,11926,19,10,0,8,180,178,132,242,464,64,101,33,0,536,393,368,668,112,141,138,178,181,419,223,271,93,133,35,47,1813,6400,6991,840,1497,5233,4344,49,13457
G1300350,2008,GEORGIA,Butts County,23401,184.393,559,461,22940,7789,513,853,5985,438,10727,9744,940,43,8097,52257,20963,2610,16324,6606,166,53,0,161,91,595,221,401,276,12,102,0,42,489,523,653,376,188,233,174,223,268,301,154,195,43,57,71,61,2277,5351,9454,468,1547,3065,5947,79,14310
G1300370,2008,GEORGIA,Calhoun County,6488,280.367,334,229,6259,1746,161,321,959,305,2547,2283,264,0,2632,30522,12452,1515,2266,3953,10,34,0,225,0,223,39,143,146,15,24,9,0,224,125,199,152,37,43,25,10,45,143,31,81,43,26,6,7,568,2287,1781,271,393,1342,862,7,4277
G1300390,2008,GEORGIA,Camden County,49293,613.025,2448,1158,48135,17834,1064,1804,13506,1460,25473,19920,2103,3450,11875,49230,22022,7354,36871,9658,748,238,139,463,1176,229,242,1050,784,445,486,112,313,448,612,1528,1344,646,675,504,568,224,340,422,453,184,190,258,187,4103,9909,21685,808,1644,6482,10502,100,32209
G1300430,2008,GEORGIA,Candler County,10715,243.044,1167,562,10153,3735,435,517,2443,340,4912,4434,478,0,3294,35828,16068,2312,7303,2577,25,65,0,491,254,26,95,145,142,95,14,24,48,130,155,185,279,218,85,49,44,83,147,17,78,81,35,35,14,884,2668,3998,274,663,1209,2286,23,7197
G1300450,2008,GEORGIA,Carroll County,109227,499.076,6266,5135,104092,39421,2406,4622,28553,3840,54170,48461,5631,78,30100,45559,20523,18339,84851,19679,857,222,0,1926,1692,1006,817,1562,2161,1090,1097,192,578,1486,1725,2370,2397,1499,1300,785,1244,713,1314,736,832,501,421,442,274,9995,24614,44547,2055,4574,14334,28661,503,65729
G1300470,2008,GEORGIA,Catoosa County,62951,162.159,1455,1280,61671,24098,1440,2886,18329,1443,31892,29654,2218,20,17124,46544,22563,6978,59257,1343,653,147,13,339,1199,382,331,1141,1239,621,766,152,245,1038,923,1756,2346,882,774,441,476,529,949,650,911,312,150,175,127,6171,10566,29054,665,3399,6025,18218,253,38455
G1300490,2008,GEORGIA,Charlton County,12310,773.576,302,30,12280,3720,216,386,2625,493,5032,4504,524,4,4865,40850,16652,2261,8345,3848,0,48,0,33,36,130,36,111,281,0,46,7,23,579,197,228,350,174,33,28,55,112,201,81,76,53,0,41,17,1565,3521,3730,331,817,1197,2466,22,8625
G1300510,2008,GEORGIA,Chatham County,256428,426.437,12510,14962,241466,100450,6164,12190,72503,9593,127437,115743,8576,3118,76846,44928,25397,41102,139303,104583,6132,241,195,2980,2994,1948,1527,4252,4538,3965,5134,1431,1576,2547,2504,6079,7309,5245,5549,3244,3781,1525,2392,2326,3401,2132,2158,2292,1202,24377,74809,90177,4390,13696,62755,46829,654,146190
G1300530,2008,GEORGIA,Chattahoochee County,11702,248.736,1435,652,11050,2537,122,193,2039,183,6731,2043,230,4458,2201,51089,22202,1365,7776,2723,247,77,0,542,337,63,45,749,172,768,225,105,37,43,62,103,91,40,117,133,14,0,17,66,42,0,0,27,0,566,3395,4677,170,269,830,811,12,10049
G1300550,2008,GEORGIA,Chattooga County,25985,313.338,975,695,25290,8870,793,1659,5535,883,10980,9887,1093,0,9726,32419,15158,4706,22215,3050,33,53,24,417,193,524,153,385,324,101,73,30,17,823,540,626,373,164,242,110,173,308,463,196,125,37,65,45,22,3101,5574,10058,435,1770,2596,5572,139,17678
G1300570,2008,GEORGIA,Cherokee County,206283,421.674,18739,17344,188939,74339,2332,5656,63767,2584,110855,102915,7841,99,44085,66320,30217,15143,179975,11402,3358,847,31,7240,3430,1305,1150,3644,3374,3080,4573,819,1107,1791,1347,5573,6840,6725,5630,3030,2511,986,1524,1581,1898,1450,846,738,521,15838,35042,98787,2006,6600,22350,70279,1143,112511
G1300590,2008,GEORGIA,Clarke County,115070,119.2,11358,12662,102408,41980,3152,5966,25164,7698,56777,52950,3684,143,39965,34253,19839,35134,74657,30883,4608,110,31,2419,2362,1026,723,1742,1468,2831,3240,1486,1757,1002,949,1311,1804,1622,1593,2100,2019,445,749,480,957,652,795,1259,646,7665,53795,30625,1819,3760,29591,15333,586,69560
G1300610,2008,GEORGIA,Clay County,2981,195.381,3,0,2981,1115,149,192,590,184,1135,902,233,0,1108,26250,13353,989,692,2275,0,0,0,0,14,8,4,20,34,0,1,1,14,102,34,80,55,6,27,5,30,22,76,15,76,28,20,16,12,230,755,823,168,314,879,558,3,1541
G1300630,2008,GEORGIA,Clayton County,260156,141.57,33271,37999,222157,86546,4633,10570,65390,5953,136857,118323,17775,759,55305,43311,18958,42408,54255,168502,13273,534,145,17786,5661,2582,1872,4929,6165,2337,3580,367,1355,2586,3096,6143,7520,3584,4257,1371,1977,1027,1566,1399,1628,564,396,444,422,25658,77351,77056,7033,9068,82527,16506,405,160718
G1300650,2008,GEORGIA,Clinch County,6841,800.222,40,40,6801,2520,143,457,1541,379,2843,2739,104,0,2480,31963,16709,1732,4616,2164,0,0,0,27,34,72,14,99,102,5,27,0,5,154,171,142,70,113,100,116,126,67,74,28,0,34,32,27,18,748,1408,2698,147,429,989,1678,29,4145
G1300670,2008,GEORGIA,Cobb County,677402,339.549,79465,103016,574386,256741,9129,20130,215866,11616,379845,351327,27347,1171,141690,65522,33110,71201,425644,163830,30119,1464,428,45168,10749,3628,2829,9721,10169,14889,17987,4824,7673,3732,3557,15058,19735,25263,24281,15384,12684,1930,3508,4703,6539,5014,4022,3832,2168,54995,162657,281841,10364,21750,141216,170957,3271,361958
G1300690,2008,GEORGIA,Coffee County,41647,575.097,4136,2452,39195,14539,1186,2533,9188,1632,17916,16402,1454,60,13749,35202,16664,8274,27326,11314,0,168,75,2588,176,619,507,283,683,230,215,111,110,658,971,901,885,433,236,235,364,312,576,343,392,141,65,54,92,4049,9471,15657,1022,2186,4811,8872,64,27900
G1300710,2008,GEORGIA,Colquitt County,44712,544.153,7095,4757,39955,15695,1110,3037,9680,1868,21068,19296,1765,7,12924,32902,17362,10245,29204,10162,301,162,10,4653,220,562,417,530,717,131,243,39,198,780,898,957,998,404,355,217,395,372,890,264,346,108,138,68,45,3634,10284,17118,1156,2267,4139,9185,111,31277
G1300730,2008,GEORGIA,Columbia County,117858,290.09,5357,7456,110402,41722,1089,3276,35689,1668,59525,53816,3592,2117,29858,66333,29479,8351,91728,17351,4691,242,122,1424,2300,704,568,1289,1522,1400,2161,609,639,954,1149,2830,3522,3578,3097,2579,2308,431,784,871,1152,837,723,858,471,9033,21697,54847,1618,4184,15703,39322,326,62507
G1300750,2008,GEORGIA,Cook County,16976,227.162,978,576,16400,6417,532,1172,3839,874,8153,7189,934,30,4577,31390,16528,3854,11309,4880,0,107,0,533,147,207,80,234,310,90,108,53,57,544,280,306,345,141,79,43,64,280,296,97,112,43,62,49,40,1478,3663,6581,355,1067,2075,3782,46,11073
G1300770,2008,GEORGIA,Coweta County,121528,440.892,7496,6564,114964,44137,1325,3336,36823,2653,62230,57840,4092,298,29417,61550,26161,12317,94260,21360,1365,67,46,2197,2233,882,579,1708,2353,1669,1596,301,620,1232,1054,3046,3480,2795,2075,1522,1527,597,1119,1089,1212,675,467,586,189,9796,21206,56656,1842,3944,15521,37571,457,67979
G1300790,2008,GEORGIA,Crawford County,12821,324.888,269,235,12586,4671,295,609,3188,579,6010,5589,411,10,4033,37062,20692,2627,9317,2983,0,102,0,249,170,148,92,83,171,82,94,0,21,290,186,481,366,117,167,30,54,132,174,171,97,97,46,47,0,1233,2473,5791,219,480,1832,3358,50,7581
G1300810,2008,GEORGIA,Crisp County,23182,272.583,695,278,22904,8835,891,1441,5076,1427,9777,8732,1019,26,7937,29960,17187,6590,12466,10071,264,0,0,253,128,153,393,170,351,117,73,0,81,558,368,483,630,284,146,119,338,203,309,169,240,61,160,47,62,1922,5562,8046,803,1732,3085,4424,41,15632
G1300830,2008,GEORGIA,Dade County,16595,173.981,274,335,16260,6262,455,867,4405,535,8356,7589,746,21,5120,39760,20168,2413,15940,91,129,113,0,138,184,158,82,211,318,142,121,24,41,348,272,509,445,238,428,180,103,145,297,247,209,54,56,48,19,1387,3515,7779,208,766,1612,4703,93,10187
G1300850,2008,GEORGIA,Dawson County,21758,210.83,795,699,21059,8163,277,996,6514,376,11382,10403,892,87,5840,51128,25557,2584,20875,13,125,86,16,322,321,211,117,274,318,82,285,50,38,486,323,470,735,353,426,146,159,61,127,223,197,220,184,211,153,2093,3318,10972,287,840,1632,8242,100,11784
G1300870,2008,GEORGIA,Decatur County,27920,597.14,1299,651,27269,10532,870,1735,6464,1463,11920,11162,741,17,9638,33297,17833,6399,15093,11508,105,150,0,1015,49,337,287,304,426,67,61,0,65,516,565,521,810,243,396,254,266,236,409,232,386,135,126,87,92,2833,6862,9903,739,1630,4424,5890,60,17546
G1300890,2008,GEORGIA,DeKalb County,685371,267.582,63555,111640,573731,264837,12778,27728,203278,21053,382174,337587,43861,726,154945,51349,28412,107715,234810,376790,34007,1518,305,29075,8866,4056,3206,10606,11990,15495,17737,5971,9851,4936,5145,14723,19659,16360,18973,12569,14926,2315,4586,3766,7079,4713,4541,4233,3161,62082,227604,214449,15744,26064,254594,65581,2126,363070
G1300910,2008,GEORGIA,Dodge County,21402,495.89,625,293,21109,7821,983,1147,4514,1177,8185,7552,606,27,9134,33580,16288,3809,14590,6450,50,37,0,55,220,195,145,165,124,138,63,50,72,449,394,316,483,93,272,117,89,183,410,165,249,64,166,67,44,1956,5908,7792,556,1482,2595,5543,74,13190
G1300930,2008,GEORGIA,Dooly County,14283,391.94,764,395,13888,4856,297,845,2782,932,4806,4373,428,5,6682,31038,14871,3139,6323,7328,0,13,43,559,17,344,160,96,74,8,69,24,13,404,194,257,321,129,94,67,93,111,186,91,97,70,18,76,62,1614,4233,4334,541,888,2138,1991,31,10123
G1300950,2008,GEORGIA,Dougherty County,94514,328.689,2062,2080,92434,36072,3000,6136,21812,5124,42774,36911,5572,291,29859,32435,19210,26358,29708,62300,752,206,0,633,915,880,699,1978,2464,585,866,234,503,1529,1280,2092,3158,1161,1630,909,1277,589,1311,734,1046,412,703,516,349,9067,29605,26647,2847,5821,26135,12547,164,55668
G1300970,2008,GEORGIA,Douglas County,127800,200.067,9664,10674,117126,44747,1858,3604,37037,2248,67165,59913,7068,184,28718,55852,24515,14309,73559,48138,2022,445,0,1718,1918,737,709,1950,2148,1341,2566,389,1004,1044,1343,3733,3265,2170,2302,1264,1215,578,1121,681,899,358,251,269,225,11803,28498,50328,2456,4651,27825,26812,446,72717
G1300990,2008,GEORGIA,Early County,11286,512.594,30,50,11236,4077,607,789,2148,533,4160,3809,351,0,4504,26928,16330,3204,5382,5785,14,20,0,7,78,85,0,110,206,11,46,39,35,248,95,57,205,117,218,74,182,93,244,52,118,56,33,36,29,1148,2798,3833,233,829,2603,2711,21,5951
G1301010,2008,GEORGIA,Echols County,3973,414.894,1193,702,3271,1297,93,295,829,80,1785,1650,135,0,1045,32390,14201,1274,2706,98,56,0,0,1008,105,137,57,17,73,0,45,7,31,41,7,42,20,12,15,0,6,13,57,40,35,0,0,0,6,285,766,1736,41,122,201,981,5,2786
G1301030,2008,GEORGIA,Effingham County,50513,477.7,1408,1029,49484,17480,556,1635,14086,1203,25307,23094,1893,320,12462,56903,23465,5189,42013,6668,485,276,67,542,462,286,532,741,770,412,575,77,214,683,648,1215,1295,609,560,333,461,313,554,374,251,73,48,48,56,4152,8621,23319,653,1815,4936,15230,150,30197
G1301050,2008,GEORGIA,Elbert County,20421,351.055,918,610,19811,7733,835,1331,4819,748,9338,8379,949,10,6771,30543,17100,4657,13615,6152,113,34,0,349,158,421,229,144,156,27,95,0,81,337,385,367,439,270,128,84,98,191,224,197,225,78,42,74,59,2024,4521,8028,551,1368,3366,4868,83,12104
G1301070,2008,GEORGIA,Emanuel County,22348,680.604,975,791,21557,8265,818,1689,4815,943,9451,8494,941,16,7789,30205,16076,5171,14031,7553,41,96,0,456,171,335,188,193,281,73,56,6,60,627,499,489,549,139,206,230,146,224,297,116,324,26,32,36,57,1728,5129,8494,721,1603,3068,5110,64,14106
G1301090,2008,GEORGIA,Evans County,10966,182.853,1215,809,10157,4022,181,448,2893,500,4825,4520,305,0,3610,40796,19072,2185,6705,3343,49,41,0,764,64,150,90,90,266,43,35,0,15,259,120,230,226,120,161,154,109,100,228,122,109,34,44,6,21,1170,2538,3884,249,709,1374,2462,19,7111
G1301110,2008,GEORGIA,Fannin County,23337,386.723,375,427,22910,10524,1255,1677,6701,891,10591,9603,988,0,8735,34145,21103,3759,22593,29,106,223,18,182,186,268,54,228,299,96,98,16,51,512,357,499,719,354,315,274,322,355,279,241,336,249,174,200,158,2106,3377,12034,396,1704,2611,7807,166,12753
G1301130,2008,GEORGIA,Fayette County,105344,194.342,6002,9321,96023,37683,854,2308,33611,910,53930,50690,2999,241,27064,82216,35076,4906,76802,20293,4154,189,98,1743,2065,394,213,864,865,1062,1253,441,631,325,296,3612,4231,4621,4690,3296,2638,453,872,1512,1344,829,700,737,436,7127,17830,53124,865,4407,20313,38501,507,46023
