gisjoin,year,state,county,population,area,hispanic,nativity_foreign_born,nativity_native,households,income_10k_to_15k,income_15k_to_25k,income_25k_plus,income_less_than_10k,labor_16_plus_in_force,labor_16_plus_employed,labor_16_plus_unemployed,labor_16_plus_armed_forces,labor_16_plus_not_in_force,median_household_income,per_capita_income,poverty,white_male,white_female,black_male,black_female,asian_male,asian_female,aian_male,aian_female,nhpi_male,nhpi_female,other_male,other_female,multi_male,multi_female,age_low_edu_low,age_low_edu_mid,age_low_edu_high,age_low_edu_very_high,age_mid_edu_low,age_mid_edu_mid,age_mid_edu_high,age_mid_edu_very_high,age_high_edu_low,age_high_edu_mid,age_high_edu_high,age_high_edu_very_high,marital_divorced,marital_single,marital_married,marital_separated,marital_widowed,democrat_voter,republican_voter,other_voter,non_voter
G4900010,2008,UTAH,Beaver County,6431,2589.88,606,345,6086,2091,175,275,1473,168,2706,2467,239,0,1773,41514,16131,1100,3161,3079,8,0,0,0,16,0,84,14,21,13,13,22,54,240,14,6,57,448,214,42,96,249,18,18,478,1043,2736,14,323,542,1902,65,3922
G4900030,2008,UTAH,Box Elder County,48221,5745.551,3867,1668,46553,15612,563,1282,13171,596,22096,21028,991,77,11507,55135,20465,4098,22523,22135,46,87,211,251,123,159,23,25,890,803,456,489,514,1896,1029,221,584,2987,1729,787,424,1384,691,415,2648,7204,22477,546,1523,3311,15228,519,29163
G4900050,2008,UTAH,Cache County,107078,1164.813,10085,6871,100207,33820,1508,4395,26221,1696,55186,52061,3036,89,21872,47013,19670,15479,48771,49812,377,235,975,929,268,529,74,39,1343,1190,1233,1303,799,5159,4723,1319,713,4682,3658,2752,681,2009,1296,1235,4649,24901,45985,650,2331,10294,29127,1911,65746
G4900070,2008,UTAH,Carbon County,20765,1478.493,2455,652,20113,7966,478,1291,5469,728,9476,8776,700,0,6338,41967,20260,2517,9307,9591,27,112,59,54,183,105,5,14,553,399,204,152,309,910,365,27,398,1692,479,295,442,695,229,158,1651,3949,9102,303,1199,3468,4091,218,12988
G4900090,2008,UTAH,Daggett County,839,696.979,51,32,807,352,39,32,265,16,365,356,9,0,347,36389,22862,64,437,351,0,0,0,9,3,0,0,0,21,7,2,9,7,45,36,2,5,29,41,16,38,32,9,16,77,115,478,0,42,131,297,11,400
G4900110,2008,UTAH,Davis County,294532,298.778,23399,13910,280622,90607,2262,5019,79945,3381,143382,134025,6629,2728,60384,66866,25244,19075,135419,134350,2040,1506,2096,2754,772,837,822,822,3503,3093,3171,3347,1590,13085,11970,3190,1869,16737,13454,7063,1686,6817,4017,2331,16331,50983,132077,2337,7257,30477,77341,3084,183630
G4900130,2008,UTAH,Duchesne County,17408,3240.945,935,488,16920,6521,405,565,5062,489,7551,7241,310,0,4711,52895,21787,1841,8115,7732,17,0,11,90,497,479,0,45,98,84,165,75,307,435,312,39,414,1124,443,301,362,415,88,136,943,2464,8657,64,462,911,4689,144,11664
G4900150,2008,UTAH,Emery County,10728,4462.314,603,241,10487,3779,185,312,3110,172,4917,4750,167,0,2914,49237,19968,1061,5199,4919,0,17,4,40,68,75,0,0,204,95,67,40,62,438,177,18,154,772,267,138,202,247,89,47,618,1658,5186,90,413,973,3358,117,6280
G4900170,2008,UTAH,Garfield County,4958,5175.121,109,110,4848,2136,114,204,1710,108,2696,2643,52,1,1092,44745,23187,486,2394,2260,0,0,5,19,152,54,0,25,4,9,14,22,35,140,70,15,92,417,245,63,58,235,54,42,279,582,2770,26,198,405,1710,44,2799
G4900190,2008,UTAH,Grand County,8987,3671.543,717,539,8448,3719,284,433,2711,291,4765,4486,279,0,2378,41396,20611,1103,4075,4097,15,0,1,26,325,191,0,0,60,89,25,83,65,257,171,43,289,868,442,268,178,207,138,125,1031,1871,3679,190,474,2067,1871,139,4910
G4900210,2008,UTAH,Iron County,44439,3296.681,3199,1563,42876,15155,674,1991,11226,1264,20921,19016,1860,45,11535,42247,16898,8985,20578,20927,26,58,116,143,645,502,124,16,243,289,422,350,386,2086,1405,322,335,2158,1915,789,377,1001,598,339,2839,9662,19061,314,1220,3258,12518,674,27989
G4900230,2008,UTAH,Juab County,9855,3392.278,313,110,9745,3045,90,228,2505,222,4468,4192,276,0,2090,53225,18193,1029,4909,4603,7,40,6,0,34,28,54,48,30,27,23,46,103,344,178,12,65,560,126,118,124,240,86,62,461,1418,4524,25,329,741,2683,192,6239
G4900250,2008,UTAH,Kane County,6893,3990.229,218,155,6738,3065,144,268,2372,281,3416,3260,156,0,2166,43540,25155,664,3361,3268,0,1,0,0,142,5,38,0,2,38,3,35,38,160,195,1,113,716,425,212,192,307,158,3,560,1089,3685,21,291,856,2212,86,3739
G4900270,2008,UTAH,Millard County,12189,6572.425,1390,858,11331,4046,337,444,3023,242,5485,5103,382,0,3355,44594,18839,1526,5951,5669,3,55,65,72,92,49,0,0,62,54,21,96,109,306,285,49,169,801,433,171,161,526,173,85,695,1947,5826,101,502,758,3653,328,7450
G4900290,2008,UTAH,Morgan County,9013,609.196,193,122,8891,2714,49,128,2496,41,4293,4092,182,19,1957,70152,24276,96,4472,4393,0,0,6,23,0,7,0,0,9,0,51,52,51,291,157,65,28,626,419,187,36,252,119,67,310,1423,4438,0,215,689,3311,161,4852
G4900310,2008,UTAH,Piute County,1661,757.791,103,10,1651,539,33,129,349,28,601,569,32,0,587,37708,16140,195,804,756,34,0,0,0,21,0,0,0,35,5,0,6,15,58,11,5,29,129,54,26,49,69,28,19,81,225,834,0,89,141,635,22,863
G4900330,2008,UTAH,Rich County,2181,1028.775,12,12,2169,762,23,54,652,33,1132,1101,31,0,544,54737,25376,148,1065,1087,1,0,0,0,0,5,0,0,0,3,20,0,16,89,54,0,0,142,126,44,35,131,37,13,99,327,1219,4,58,154,831,21,1175
G4900350,2008,UTAH,Salt Lake County,1000155,742.282,162475,120414,879741,335075,13916,28854,276103,16202,532339,499497,31924,918,206365,58004,25041,101210,434292,431598,8447,6340,15470,17045,4048,3919,7952,7777,21271,19443,11733,10820,13378,43492,38479,12468,11721,58301,40593,26346,8094,21083,12867,8565,79336,227006,406036,11928,29351,176988,176692,10069,636406
G4900370,2008,UTAH,San Juan County,14299,7819.988,626,237,14062,4331,269,480,3002,580,5423,5076,347,0,4612,38076,15150,3636,3474,3331,0,0,42,19,3495,3537,31,0,36,18,125,191,113,393,204,36,260,669,392,240,93,240,85,82,730,3587,5289,174,535,2406,2638,86,9169
G4900390,2008,UTAH,Sanpete County,26651,1590.152,2378,1438,25213,7870,377,1038,5829,626,11229,10435,780,14,8408,42395,15731,4388,12678,12146,269,19,45,89,155,93,89,60,465,282,135,126,292,891,376,87,290,1391,697,386,360,882,425,161,1747,5892,11492,207,782,1631,6664,476,17880
G4900410,2008,UTAH,Sevier County,20438,1910.577,826,391,20047,6937,301,862,5363,411,8948,8539,409,0,5749,45622,18856,2263,9914,9589,25,6,29,19,164,234,11,9,152,107,82,97,171,882,267,62,310,1235,492,395,362,709,315,155,1356,2958,9708,83,954,1359,6394,254,12431
G4900430,2008,UTAH,Summit County,35295,1871.712,3819,3141,32154,13600,354,884,11799,563,19980,19066,914,0,6688,79461,40270,2452,17224,16231,57,87,243,367,10,16,51,0,433,260,166,150,245,540,1096,483,273,2207,3374,2181,149,443,537,504,2140,6307,17843,258,704,9532,6956,321,18486
G4900450,2008,UTAH,Tooele County,55398,6941.352,6166,2001,53397,17718,666,1178,15228,646,26371,24724,1425,222,10709,60590,22020,3552,26257,25785,253,213,153,200,346,274,38,49,326,435,573,496,338,3087,1357,235,628,3160,1580,733,489,847,381,186,4357,8257,23798,440,1285,5830,10998,509,38061
G4900470,2008,UTAH,Uintah County,30991,4479.693,1974,1007,29984,10474,491,852,8674,457,14940,14091,772,77,6780,59730,24160,3609,13469,13016,11,9,159,129,1066,1019,147,313,521,386,429,317,730,1581,327,108,605,1636,840,345,630,644,232,151,2225,4990,14033,309,814,1462,8441,248,20840
G4900490,2008,UTAH,Utah County,486067,2003.454,49522,35190,450877,135620,5516,12278,111964,5862,224943,211786,12625,532,107791,56927,20210,60929,220880,221270,1484,1109,2959,3828,1426,1513,2044,1380,8831,8225,5473,5645,3956,24141,23151,4840,2224,20225,15660,9942,2238,8763,5470,4834,18223,107506,202430,3408,9268,29567,122224,5488,328788
G4900510,2008,UTAH,Wasatch County,22176,1175.501,2560,1761,20415,7154,150,572,6226,206,11181,10718,450,13,4191,65204,26873,1340,10764,10371,74,34,25,100,21,52,13,0,147,89,228,258,344,739,528,422,112,1596,1100,570,141,508,253,168,1031,3442,10714,95,455,2892,5430,209,13645
G4900530,2008,UTAH,Washington County,134033,2426.358,12240,8174,125859,45895,2004,4945,36768,2178,57571,53472,4021,78,39825,50050,21378,15103,60617,62534,353,260,459,671,624,933,704,472,2525,1873,979,1029,1505,5048,2675,548,1392,8005,4704,2598,1480,6568,3346,2334,7586,21658,64575,1057,4850,10826,37311,1392,84504
G4900550,2008,UTAH,Wayne County,2706,2460.676,182,157,2549,899,68,69,735,27,1377,1327,50,0,618,49414,19829,332,1399,1265,10,0,0,0,5,0,0,0,0,20,1,6,32,71,26,39,24,201,144,38,30,85,64,28,179,361,1385,3,97,335,940,39,1392
G4900570,2008,UTAH,Weber County,222849,576.084,35783,16686,206163,77656,3028,7431,62846,4351,112189,102906,7806,1477,50670,54086,22849,25255,99030,99172,1789,1469,1526,1504,784,731,276,256,6440,5364,2179,2329,2392,9642,5408,1184,2244,13703,8090,3926,2236,5962,3197,1508,18256,43313,94104,2836,8004,25666,45885,1843,149455
G5000010,2008,VERMONT,Addison County,36841,766.325,661,1497,35344,14080,597,1208,11475,800,20897,19717,1169,11,9332,55800,26599,3945,17637,17616,225,113,220,245,64,33,14,0,125,94,235,220,253,657,712,259,718,1690,2119,1724,435,605,800,702,3278,9513,15921,422,1549,13202,5667,369,17603
G5000030,2008,VERMONT,Bennington County,37122,674.98,537,1256,35866,15559,1186,1732,11792,849,20149,18898,1213,38,10467,47396,27962,3898,17432,18586,77,106,102,118,18,8,4,0,10,27,222,412,234,728,682,204,572,2063,2305,1501,627,941,1116,944,3679,8168,16787,361,2058,12524,6133,472,17993
G5000050,2008,VERMONT,Caledonia County,31214,648.864,323,663,30551,12581,1036,1485,8990,1070,16705,15574,1107,24,8511,42706,22504,4011,14960,15234,188,95,45,168,50,71,2,10,15,25,159,192,214,674,616,150,508,1632,1585,1354,442,739,498,539,3724,6989,12853,351,1707,8900,5472,356,16486
G5000070,2008,VERMONT,Chittenden County,154729,536.578,2731,10506,144223,61581,3100,5361,49910,3210,91291,86572,4546,173,35845,59878,31095,15789,69969,73838,1307,1264,1885,2384,222,260,0,6,494,280,1441,1379,850,3458,7166,2868,1584,6694,10915,7638,1792,2466,2754,2763,12471,48563,60853,1336,5878,59611,22237,1592,71289
G5000090,2008,VERMONT,Essex County,6359,663.598,45,273,6086,2842,277,457,1856,252,3246,2977,269,0,2030,37734,20040,1071,3138,3040,16,27,3,19,11,11,0,0,4,0,47,43,21,112,103,24,188,336,242,110,220,127,63,54,638,1185,3037,118,378,1733,1284,84,3258
G5000110,2008,VERMONT,Franklin County,47547,633.706,581,1512,46035,18482,1008,1949,14556,969,26293,24613,1632,48,10606,53623,24767,4901,22497,23030,125,97,109,115,252,180,0,0,174,56,523,389,453,836,1117,318,726,2219,1756,1312,703,709,366,295,4523,9957,20543,512,2178,13179,7853,428,26087
G5000130,2008,VERMONT,Grand Isle County,7105,81.811,89,237,6868,3077,115,281,2573,108,4106,3880,226,0,1692,57436,30499,453,3399,3413,20,0,10,3,35,14,0,0,8,0,120,83,21,128,178,45,87,508,480,301,91,190,112,132,764,1152,3677,55,279,2694,1490,85,2836
G5000150,2008,VERMONT,Lamoille County,24040,458.797,316,814,23226,10345,610,1169,7798,768,13795,13024,708,63,5540,52232,27164,2796,11641,11665,118,26,84,56,30,17,0,0,28,3,208,164,107,666,831,133,355,1206,1596,1097,290,387,442,346,2345,5336,10852,207,883,8914,3515,239,11372
G5000170,2008,VERMONT,Orange County,29059,687.033,317,509,28550,11967,620,1325,9456,566,16452,15456,988,8,7197,52079,25951,2835,14169,14100,43,39,70,73,3,19,1,0,75,19,246,202,184,485,582,178,462,1572,1635,1385,466,558,527,510,3003,6128,13415,270,1208,9799,5047,333,13880
G5000190,2008,VERMONT,Orleans County,27256,693.268,290,1192,26064,10785,791,1596,7441,957,13580,12590,974,16,8553,40202,20652,3770,13166,13237,86,102,57,54,18,55,0,9,84,20,182,186,212,626,399,67,591,1247,1011,746,513,571,498,393,2552,5961,11879,278,1834,7998,4482,291,14485
G5000210,2008,VERMONT,Rutland County,62278,929.821,705,1322,60956,26405,1582,3344,19835,1644,34250,31580,2630,40,17058,47027,25426,7028,29831,30749,214,83,106,200,30,67,0,0,189,51,343,415,360,1142,1430,226,1167,3779,3454,2228,1065,1336,1406,900,6622,14609,27232,539,3337,19355,11584,678,30661
G5000230,2008,VERMONT,Washington County,59379,687.233,1019,1825,57554,24621,1266,2531,19332,1492,34132,32114,1856,162,14289,55313,28337,5954,28239,28966,282,161,193,265,56,48,0,25,79,31,576,458,280,1207,1903,564,675,3083,4092,3494,786,974,1095,1233,7012,14053,24406,976,2839,22324,9129,747,27179
G5000250,2008,VERMONT,Windham County,44438,785.305,786,1477,42961,19483,1220,2593,14478,1192,25102,23474,1588,40,11594,46714,27247,4837,20860,21643,184,204,150,246,36,68,11,0,88,70,384,494,291,1073,929,485,665,2815,2879,2571,720,890,925,979,5099,10490,18480,631,2539,17585,5997,499,20357
G5000270,2008,VERMONT,Windsor County,56891,969.337,754,1754,55137,24804,1251,3196,18689,1668,30955,29207,1716,32,15860,50893,29053,5438,26983,27909,156,136,198,218,82,74,0,5,83,231,395,421,439,1194,1393,772,959,3352,3391,3003,816,1459,1407,1183,6456,11447,26015,783,2956,21444,9084,637,25726
G5100010,2008,VIRGINIA,Accomack County,34066,449.496,2732,2054,32012,14085,981,1784,9567,1753,16523,14972,1514,37,11012,41372,22766,5258,11122,11517,4463,5266,105,61,5,25,0,0,506,196,506,294,591,767,339,113,1241,2009,1079,942,1031,636,485,627,3023,6788,14592,1169,2439,7607,7833,183,18443
G5100030,2008,VIRGINIA,Albemarle County,96633,720.698,4790,8701,87932,37459,1299,2913,31099,2148,50184,47910,2120,154,27605,64847,36685,7484,38047,41446,4661,4902,1928,2218,80,88,0,28,673,491,941,1130,443,1866,3953,3022,1150,3991,6886,6887,1023,2201,2248,3022,6811,24906,41421,1555,4309,29792,20576,616,45649
G5100050,2008,VIRGINIA,Alleghany County,16406,445.457,72,269,16137,6964,512,1018,5008,426,7820,7331,484,5,5543,43160,22013,1737,7450,7800,519,460,49,32,2,1,0,0,0,18,52,23,134,296,252,54,523,979,478,367,423,431,155,74,1178,2769,7846,246,1520,3553,3715,101,9037
G5100070,2008,VIRGINIA,Amelia County,12517,355.269,292,507,12010,4901,381,461,3781,278,6107,5670,426,11,3862,50135,24197,1246,4503,4725,1477,1477,15,32,13,18,0,18,101,24,44,70,190,300,43,16,576,713,273,202,342,286,249,86,1035,2593,5488,315,767,2488,3970,71,5988
G5100090,2008,VIRGINIA,Amherst County,32315,473.934,675,635,31680,12706,784,1567,9351,1004,16225,15271,931,23,10191,44757,21097,4004,11763,12999,2896,3305,23,126,182,119,0,0,199,111,284,308,373,760,452,122,1082,1910,1110,698,917,789,272,204,2893,7604,13778,596,1916,6094,8470,136,17615
G5100110,2008,VIRGINIA,Appomattox County,14653,333.494,36,220,14433,5976,381,733,4319,543,7481,6903,578,0,4345,49224,22388,1990,5466,5752,1508,1738,15,19,0,0,0,0,0,44,45,66,168,338,94,0,474,855,310,228,418,366,185,111,1514,2640,6452,364,982,2641,4903,86,7023
G5100130,2008,VIRGINIA,Arlington County,197467,25.974,29359,45654,151813,91892,1747,3955,82429,3761,134246,125922,4214,4110,35095,94880,57724,13556,69363,69216,8376,8495,8370,10398,354,346,81,77,8198,6902,3542,3749,1013,3595,22825,18953,2015,4805,12464,17647,943,2458,3731,4365,13074,77127,72096,2652,5894,78994,29876,1283,87314
G5100150,2008,VIRGINIA,Augusta County,73201,966.999,1525,1447,71754,27909,1522,3090,21669,1628,35911,34224,1642,45,23456,50612,23571,6293,34296,34141,2350,727,203,131,37,103,22,15,423,196,387,170,1115,1387,1099,395,1864,4219,3320,1319,1446,1699,1002,744,5195,14258,35311,1386,4260,9825,23120,393,39863
G5100170,2008,VIRGINIA,Bath County,4779,529.158,60,72,4707,2025,99,219,1586,121,2470,2404,66,0,1577,50589,22083,491,2395,2178,73,99,0,34,0,0,0,0,0,0,0,0,23,24,23,0,160,371,101,51,141,96,90,98,515,773,2536,13,254,1043,1349,40,2347
G5100190,2008,VIRGINIA,Bedford County,67697,753.021,1063,1196,66501,27150,1211,2643,21844,1452,35058,33191,1760,107,19142,54110,27732,5897,30883,31171,1831,1967,230,374,99,38,0,10,64,194,478,358,377,1284,1270,451,2259,4873,3172,1931,1529,1675,1046,883,4675,11523,34933,953,3114,11017,24420,393,31867
G5100210,2008,VIRGINIA,Bland County,6873,357.725,21,243,6630,2580,174,285,1963,158,2905,2742,163,0,2891,41552,20468,734,3222,3336,188,10,36,58,0,0,0,0,7,0,0,16,66,70,121,74,140,463,200,89,101,172,37,43,627,1257,3473,188,411,864,2031,64,3914
G5100230,2008,VIRGINIA,Botetourt County,32867,541.202,380,619,32248,12918,517,1126,10809,466,17039,16387,650,2,9428,64724,29540,1783,15316,15821,616,630,39,140,0,38,0,0,28,66,90,83,157,780,477,151,712,2100,1790,946,562,966,428,211,2264,4807,17593,342,1937,5693,11471,242,15461
G5100250,2008,VIRGINIA,Brunswick County,17707,566.173,92,218,17489,6086,550,795,3967,774,6723,6161,562,0,7953,35184,16739,3132,3700,3430,5603,4809,20,8,0,0,0,0,42,0,26,69,558,405,270,24,912,879,351,161,576,388,291,151,1255,5496,6107,778,1260,4973,2877,64,9793
G5100270,2008,VIRGINIA,Buchanan County,24459,502.763,40,343,24116,9123,890,1547,5194,1492,8393,7320,1073,0,11993,29183,16742,5143,11787,11789,387,105,53,98,44,167,0,0,7,9,5,8,664,754,274,44,1045,1402,451,425,535,353,119,81,2736,4818,10424,961,1814,4063,4541,130,15725
G5100290,2008,VIRGINIA,Buckingham County,16874,579.657,122,247,16627,4859,334,782,3178,565,4101,3833,244,24,10689,34720,16752,1881,6760,3552,4294,1984,2,31,0,53,0,0,82,0,41,75,973,156,242,75,1530,657,650,240,394,199,231,71,1923,5383,6189,530,838,3489,3428,77,9880
G5100310,2008,VIRGINIA,Campbell County,54174,503.867,942,1122,53052,22005,1411,2863,15916,1815,27711,26014,1635,62,15775,43478,22044,6562,21980,23040,3642,3951,220,165,58,60,0,0,101,19,384,554,281,1539,992,314,1593,3689,1862,638,1378,1177,554,288,4558,11844,23468,1329,3251,8091,17444,279,28360
G5100330,2008,VIRGINIA,Caroline County,27844,527.513,974,586,27258,10270,430,764,8534,542,14360,13098,1219,43,7536,57690,25024,2106,9217,9318,3947,4182,51,76,52,70,13,15,104,61,446,292,217,968,370,136,957,1815,1000,323,585,385,277,209,2565,5778,11556,775,1521,7163,5617,139,14925
G5100350,2008,VIRGINIA,Carroll County,29985,474.69,419,420,29565,12818,1324,2005,8403,1086,14006,12788,1171,47,10615,36142,18670,4657,14481,14732,208,153,0,32,0,36,0,0,29,0,254,60,269,756,303,119,1597,1593,757,344,1185,620,409,226,2191,4574,15563,981,1888,4109,8187,283,17406
G5100360,2008,VIRGINIA,Charles City County,7205,182.817,111,46,7159,2713,182,188,2143,200,3754,3432,314,8,2226,46337,23955,699,1600,1421,1759,1824,4,9,158,282,0,0,0,0,76,72,92,153,49,9,451,391,203,132,227,215,40,53,719,1906,2832,174,467,2838,1288,27,3052
G5100370,2008,VIRGINIA,Charlotte County,12644,475.271,69,262,12382,4415,407,625,2875,508,5572,4964,581,27,4439,34881,17348,1985,4175,4248,1906,2133,0,0,25,47,0,0,12,35,33,30,67,485,181,104,489,820,352,197,529,193,171,63,1313,2459,5029,359,1086,2705,3372,80,6487
G5100410,2008,VIRGINIA,Chesterfield County,308633,423.297,20112,23869,284764,112404,2522,7032,99752,3098,167325,157224,9131,970,70079,71321,31711,17905,108240,112527,30440,35555,4875,5457,483,576,57,122,2329,2236,2565,3171,2912,8242,9714,3833,5330,19998,20033,12054,3903,5379,4753,2893,22873,64937,138187,5555,10916,74310,86413,1365,146545
G5100430,2008,VIRGINIA,Clarke County,14013,176.177,496,521,13492,5535,235,392,4651,257,7405,7065,311,29,3707,73244,34630,1003,6227,6434,401,334,50,64,26,6,0,0,96,136,50,189,136,224,350,67,324,1089,680,795,163,382,244,135,1029,2677,6774,162,784,3457,3840,134,6582
G5100450,2008,VIRGINIA,Craig County,5173,329.534,0,17,5156,1989,59,197,1694,39,2784,2730,54,0,1436,51291,23461,364,2687,2392,35,0,4,0,0,0,0,0,0,0,36,19,94,72,55,0,224,386,145,124,59,126,59,29,419,1056,2347,104,376,877,1695,49,2552
G5100470,2008,VIRGINIA,Culpeper County,45749,379.234,3855,3289,42460,15834,674,1229,13312,619,23598,22201,1326,71,11554,65132,27507,2929,17504,17448,3830,3534,236,347,14,69,0,0,729,780,750,508,584,1067,1028,265,1267,2694,1663,1285,718,889,458,356,2846,9257,20479,1052,2127,8802,10711,228,26008
G5100490,2008,VIRGINIA,Cumberland County,9855,297.461,189,278,9577,3969,340,595,2645,389,4550,4189,345,16,3258,40143,19691,1583,3078,3291,1511,1743,0,0,0,12,0,23,0,14,112,71,180,145,177,42,214,402,254,139,332,157,53,88,791,2245,4013,308,566,2255,2418,51,5131
G5100510,2008,VIRGINIA,Dickenson County,15966,330.532,24,31,15935,6170,733,1231,3463,743,5229,4738,491,0,7734,29080,16278,3028,7983,7759,33,38,4,0,11,0,0,0,0,0,69,69,119,430,99,48,720,651,242,247,508,262,101,87,1347,3184,6694,701,1261,3278,3324,151,9213
G5100530,2008,VIRGINIA,Dinwiddie County,27449,503.716,651,576,26873,9800,515,969,7870,446,13563,12501,1015,47,8351,51459,23423,3193,8958,9018,4163,4799,43,112,29,57,0,0,15,17,166,72,192,577,489,98,1119,1556,726,206,630,386,225,150,2199,7300,10777,556,1500,6246,6526,120,14557
G5100570,2008,VIRGINIA,Essex County,10901,257.123,278,259,10642,4466,216,499,3430,321,5598,5316,272,10,3325,46235,23795,898,3217,3173,1839,2363,8,12,67,20,23,11,0,0,123,45,105,314,125,7,417,684,435,173,220,326,235,75,813,2532,4474,344,872,2934,2379,51,5537
G5100590,2008,VIRGINIA,Fairfax County,1048554,390.969,152973,301594,746960,381768,5277,12896,353881,9714,608225,571268,25878,11079,214931,105416,49001,53181,338890,341514,45174,49783,86649,95248,2636,2487,432,386,26877,25123,17329,16026,6346,23816,53542,31589,9240,42789,89529,89681,5122,15609,21933,24399,63222,245790,480119,14759,33742,310359,200994,4901,532300
G5100610,2008,VIRGINIA,Fauquier County,64546,647.449,3942,3882,60664,22369,539,1078,20024,728,35139,33392,1636,111,14588,83877,38710,3438,27791,28460,2650,2785,427,510,139,124,0,0,337,264,561,498,325,1621,1281,267,1124,4311,3952,2773,801,1533,973,936,4572,12923,29422,1126,2836,14616,19227,376,30327
G5100630,2008,VIRGINIA,Floyd County,15030,380.42,347,189,14841,6334,644,770,4344,576,7708,7172,508,28,4452,42044,21425,2182,7215,7205,50,184,39,54,49,70,0,0,0,0,52,112,65,412,273,137,429,956,613,308,541,355,222,39,1236,2523,7241,285,1032,2937,4441,138,7514
G5100650,2008,VIRGINIA,Fluvanna County,25308,286.005,721,502,24806,9128,396,514,7866,352,12467,11844,586,37,7508,68223,29407,1827,9649,10863,1553,2453,67,84,6,61,0,0,48,42,128,354,395,629,532,178,479,1467,1134,669,282,718,675,385,2000,4746,11636,624,1357,6185,6420,130,12573
G5100670,2008,VIRGINIA,Franklin County,54938,690.426,1341,1599,53339,23355,1556,2709,17228,1862,26716,24702,2014,0,18029,45555,23527,7069,24422,24860,2252,2427,52,133,0,0,0,0,159,48,309,276,459,1195,661,215,1829,3811,1678,1208,1365,1495,595,525,4578,9467,27096,1076,3250,9618,15414,369,29537
G5100690,2008,VIRGINIA,Frederick County,75835,413.496,4871,4010,71825,28558,1027,2255,24313,963,39983,37824,2083,76,18607,61973,27977,5880,34258,34810,1589,1507,378,558,192,51,29,107,722,660,525,449,1154,1848,1659,552,2045,4100,2749,1993,1215,1461,868,739,6077,14191,34832,1408,3258,12961,20149,502,42223
G5100710,2008,VIRGINIA,Giles County,17205,355.781,179,138,17067,7100,382,1071,4926,721,7773,7261,495,17,6132,41186,20985,2538,8143,8497,114,83,0,0,0,0,0,0,45,30,146,147,178,502,231,99,471,971,534,355,512,461,104,159,1687,2918,7988,422,1112,3192,4462,141,9410
G5100730,2008,VIRGINIA,Gloucester County,36610,217.807,963,694,35916,14014,530,1110,11793,581,19019,17929,775,315,10377,59331,27395,3385,15851,16143,1522,1839,102,187,169,126,12,0,132,124,242,161,277,1035,560,162,1186,2886,1442,563,580,876,672,427,2608,7333,17582,814,1620,6916,12089,217,17388
G5100750,2008,VIRGINIA,Goochland County,21136,281.415,426,630,20506,6831,229,440,5922,240,7877,7497,359,21,9507,79574,38553,1178,6916,7789,3336,2556,16,17,0,51,0,0,131,116,67,141,751,438,518,65,574,1457,1550,1262,292,504,382,452,1336,4560,10645,414,788,4813,7643,106,8574
G5100770,2008,VIRGINIA,Grayson County,15855,442.175,383,86,15769,6858,709,1263,4093,793,7196,6779,417,0,6101,32178,19499,2431,7394,7931,224,160,3,0,0,0,34,49,3,0,28,29,166,220,191,13,732,1153,434,86,475,391,126,80,1399,2551,7789,368,1274,2480,4540,200,8635
G5100790,2008,VIRGINIA,Greene County,18082,156.246,701,729,17353,6709,197,573,5559,380,9574,9048,409,117,4361,54307,24969,1509,7991,8077,678,577,43,129,0,0,0,0,182,107,146,152,404,370,403,86,606,1169,577,361,262,273,165,164,1852,3637,7803,267,673,3174,4980,106,9822
G5100810,2008,VIRGINIA,Greensville County,12181,295.226,154,160,12021,3385,131,621,2271,362,4822,4339,483,0,5547,38574,17631,1663,2783,1837,4795,2539,30,36,3,34,0,0,89,0,6,29,325,256,50,0,581,740,216,100,347,97,29,19,1055,4303,3928,463,780,3122,1729,36,7294
G5100830,2008,VIRGINIA,Halifax County,36311,817.839,598,563,35748,14650,1315,2554,9040,1741,15954,14471,1466,17,13107,34705,19909,7147,10584,11349,6263,7206,37,83,12,46,18,0,222,148,208,135,510,701,402,292,1591,2074,812,642,1296,801,323,288,3195,7800,14456,1164,2987,8126,8600,124,19461
G5100850,2008,VIRGINIA,Hanover County,99172,468.536,2047,3069,96103,36114,1074,1934,32152,954,53876,51754,2044,78,23114,76425,34201,4151,42532,43928,4311,4729,543,651,75,211,32,44,397,236,730,753,410,2114,2408,876,1286,7295,6374,3545,1794,2335,1367,598,6750,18076,48611,1111,4064,18447,37344,457,42924
G5100870,2008,VIRGINIA,Henrico County,300053,233.697,13353,31753,268300,121767,4378,9972,102335,5082,166888,155559,10948,381,67993,60114,33001,28357,87813,96522,38117,48012,9332,9030,554,370,45,56,2156,2056,2886,3104,2259,9128,13300,6087,5886,17507,17810,11547,3933,6784,5889,3762,25139,73212,119383,6446,15188,86323,67381,1262,145087
G5100890,2008,VIRGINIA,Henry County,54860,382.334,2471,1854,53006,22909,2203,3766,14719,2221,25749,22864,2818,67,19199,34086,19206,9113,19742,21158,5776,6432,37,169,0,0,0,0,496,372,317,361,692,1779,353,140,2385,2763,1368,868,2051,1206,557,291,5538,10654,23161,1912,4346,11118,13758,339,29645
